time,high,low,open,close,volumefrom,volumeto
2023-05-31 08:00:00,27128.89,27068.22,27105.56,27077.81,1080.6,29277311.16
2023-05-31 09:00:00,27229.84,27064.36,27077.81,27131.61,1316.89,35770661.11
2023-05-31 10:00:00,27132.78,26861.56,27131.61,27039.26,3576.17,96510510.68
2023-05-31 11:00:00,27072,26892.04,27039.26,26916.43,1957.7,52785414.55
2023-05-31 12:00:00,26985.65,26853.57,26916.43,26943.24,1255.01,33803326.34
2023-05-31 13:00:00,27084.64,26920.72,26943.24,27060.19,1457.69,39361788.82
2023-05-31 14:00:00,27094.15,27022.21,27060.19,27045.28,926.12,25060492.38
2023-05-31 15:00:00,27119.93,27007.42,27045.28,27016.19,881.9,23858334.74
2023-05-31 16:00:00,27122.76,27009.54,27016.19,27118.45,864.34,23404195.26
2023-05-31 17:00:00,27132.07,27056.77,27118.45,27099.01,455.81,12350187.29
2023-05-31 18:00:00,27196.07,27091.14,27099.01,27189.14,578.74,15709146.61
2023-05-31 19:00:00,27294.88,27169.17,27189.14,27220.17,1061.47,28890419.89
2023-05-31 20:00:00,27347.94,27033.46,27220.17,27075.43,1599.1,43503494.4
2023-05-31 21:00:00,27172.02,27069.88,27075.43,27089.26,955.64,25925682.49
2023-05-31 22:00:00,27124.04,26663.65,27089.26,26727.24,2439.95,65452718.84
2023-05-31 23:00:00,26842.32,26628.22,26727.24,26785.68,1425.02,38102021.86
2023-06-01 00:00:00,26827.18,26759.92,26785.68,26812.14,345.11,9248520.73
2023-06-01 01:00:00,26867.24,26791.97,26812.14,26857.61,313.91,8424600.85
2023-06-01 02:00:00,26888.76,26788.88,26857.61,26795.81,573.19,15387027.61
2023-06-01 03:00:00,26870.98,26772.58,26795.81,26808.04,417.97,11207195.86
2023-06-01 04:00:00,26927.49,26794.65,26808.04,26920.51,546.09,14666687.81
2023-06-01 05:00:00,26956.52,26904.33,26920.51,26915.67,532.46,14340246.53
2023-06-01 06:00:00,26933.19,26865.17,26915.67,26865.17,392.64,10560529.22
2023-06-01 07:00:00,26909.59,26845.62,26865.17,26893.98,553.25,14864032.57
2023-06-01 08:00:00,26967.13,26804.67,26893.98,26950.02,1332.81,35832364.98
2023-06-01 09:00:00,26975.68,26874.91,26950.02,26896.6,876.68,23597101.38
2023-06-01 10:00:00,26975.06,26839.68,26896.6,26900.23,1263.94,33996185.04
2023-06-01 11:00:00,26947.56,26867.43,26900.23,26897.92,898.59,24177989.49
2023-06-01 12:00:00,27161.85,26810.98,26897.92,27096.77,1767.27,47675558.42
2023-06-01 13:00:00,27137.24,26924.52,27096.77,26963.68,1588.84,42903573.91
2023-06-01 14:00:00,27046.27,26944.42,26963.68,26966.11,1128.65,30455920.79
2023-06-01 15:00:00,26986.52,26667.44,26966.11,26868.45,2154.28,57770297.2
2023-06-01 16:00:00,26919.98,26835.36,26868.45,26869.64,1056.78,28397900.32
2023-06-01 17:00:00,26949.24,26868.51,26869.64,26900.18,609.16,16397725.13
2023-06-01 18:00:00,26908.88,26863.26,26900.18,26890.39,436.34,11731415.58
2023-06-01 19:00:00,26894.43,26725.99,26890.39,26825.73,772.02,20705936.66
2023-06-01 20:00:00,26835.8,26519.23,26825.73,26786.09,2801.99,74821048.79
2023-06-01 21:00:00,26853.36,26722.43,26786.09,26816.17,742.95,19909136.18
2023-06-01 22:00:00,26979.86,26815.25,26816.17,26965.19,1003.99,27025779.55
2023-06-01 23:00:00,27018.4,26935.59,26965.19,27005.58,475.38,12817627.08
2023-06-02 00:00:00,27117.19,26957.8,27005.58,27077.99,1190.6,32198339.91
2023-06-02 01:00:00,27236.98,27069.54,27077.99,27160.03,1336.33,36301185.29
2023-06-02 02:00:00,27169.64,27077.33,27160.03,27079.94,573.23,15554129.42
2023-06-02 03:00:00,27121.02,27053.97,27079.94,27056.15,457.24,12385481.83
2023-06-02 04:00:00,27179.41,27056.06,27056.15,27172.87,559.72,15184461.69
2023-06-02 05:00:00,27188.76,27073.71,27172.87,27085.65,573.35,15556329.72
2023-06-02 06:00:00,27108.84,27072.39,27085.65,27103.4,312.73,8471371.87
2023-06-02 07:00:00,27172.91,27078.47,27103.4,27136.96,499.52,13549631.49
2023-06-02 08:00:00,27235.96,27023.14,27136.96,27105.47,2313.92,62760046.14
2023-06-02 09:00:00,27140.13,26885.26,27105.47,26918.32,1758.92,47493328.21
2023-06-02 10:00:00,26989.15,26896.95,26918.32,26970.04,1485.84,40037351.04
2023-06-02 11:00:00,27113.65,26967.65,26970.04,27100.85,1036.79,28022918.9
2023-06-02 12:00:00,27127.35,27039.44,27100.85,27063.9,845.88,22907785.76
2023-06-02 13:00:00,27098.58,27028.29,27063.9,27065.68,645.77,17482335.19
2023-06-02 14:00:00,27196.43,27016.1,27065.68,27194.88,1098.09,29748762.26
2023-06-02 15:00:00,27294.79,27137.38,27194.88,27245.5,1612.48,43894246
2023-06-02 16:00:00,27278.17,27177.86,27245.5,27177.86,861.71,23461929.47
2023-06-02 17:00:00,27254.25,27152.88,27177.86,27219.75,635.79,17294046.7
2023-06-02 18:00:00,27305,27208.72,27219.75,27274.44,578.62,15774800.14
2023-06-02 19:00:00,27282.39,27240.98,27274.44,27251.14,385.55,10510898.37
2023-06-02 20:00:00,27254.44,27165.96,27251.14,27178.56,315.54,8585464.27
2023-06-02 21:00:00,27201.33,27106.6,27178.56,27144.18,490.26,13312547.82
2023-06-02 22:00:00,27175.13,27140.94,27144.18,27160.24,172.18,4676242.03
2023-06-02 23:00:00,27183.58,27144.23,27160.24,27151.67,197.06,5351890.46
2023-06-03 00:00:00,27174.99,27119.61,27151.67,27170.14,191.81,5206202.5
2023-06-03 01:00:00,27178.58,27147.8,27170.14,27168.52,112.41,3053456.13
2023-06-03 02:00:00,27219.71,27168.52,27168.52,27189.15,149.2,4057554.69
2023-06-03 03:00:00,27205.35,27172.38,27189.15,27181.23,109.9,2988107.71
2023-06-03 04:00:00,27187.9,27152.55,27181.23,27153.97,135.36,3678180.33
2023-06-03 05:00:00,27162.31,27141.5,27153.97,27160.86,130.84,3552387.21
